Id,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd
1,Norm,Norm,1Fam,2Story,7,5,2003,2003
2,Feedr,Norm,1Fam,1Story,6,8,1976,1976
3,Norm,Norm,1Fam,2Story,7,5,2001,2002
4,Norm,Norm,1Fam,2Story,7,5,1915,1970
5,Norm,Norm,1Fam,2Story,8,5,2000,2000
6,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995
7,Norm,Norm,1Fam,1Story,8,5,2004,2005
8,PosN,Norm,1Fam,2Story,7,6,1973,1973
9,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950
10,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950
11,Norm,Norm,1Fam,1Story,5,5,1965,1965
12,Norm,Norm,1Fam,2Story,9,5,2005,2006
13,Norm,Norm,1Fam,1Story,5,6,1962,1962
14,Norm,Norm,1Fam,1Story,7,5,2006,2007
15,Norm,Norm,1Fam,1Story,6,5,1960,1960
16,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001
17,Norm,Norm,1Fam,1Story,6,7,1970,1970
18,Norm,Norm,Duplex,1Story,4,5,1967,1967
19,RRAe,Norm,1Fam,1Story,5,5,2004,2004
20,Norm,Norm,1Fam,1Story,5,6,1958,1965
21,Norm,Norm,1Fam,2Story,8,5,2005,2006
22,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950
23,Norm,Norm,1Fam,1Story,8,5,2002,2002
24,Norm,Norm,TwnhsE,1Story,5,7,1976,1976
25,Norm,Norm,1Fam,1Story,5,8,1968,2001
26,Norm,Norm,1Fam,1Story,8,5,2007,2007
27,Norm,Norm,1Fam,1Story,5,7,1951,2000
28,Norm,Norm,1Fam,1Story,8,5,2007,2008
29,Norm,Norm,1Fam,1Story,5,6,1957,1997
30,Feedr,RRNn,1Fam,1Story,4,6,1927,1950
31,Feedr,Norm,1Fam,2Story,4,4,1920,1950
32,Norm,Norm,1Fam,1Story,5,6,1966,2006
