Id,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThrSsnPorch,ScreenPorch
1,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,0
2,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,Attchd,1976,RFn,2,460,TA,TA,Y,298,0,0,0,0
3,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,Attchd,2001,RFn,2,608,TA,TA,Y,0,42,0,0,0
4,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,Detchd,1998,Unf,3,642,TA,TA,Y,0,35,272,0,0
5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,Attchd,2000,RFn,3,836,TA,TA,Y,192,84,0,0,0
6,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,Attchd,1993,Unf,2,480,TA,TA,Y,40,30,0,320,0
7,Gable,CompShg,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,Attchd,2004,RFn,2,636,TA,TA,Y,255,57,0,0,0
8,Gable,CompShg,HdBoard,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,Attchd,1973,RFn,2,484,TA,TA,Y,235,204,228,0,0
9,Gable,CompShg,BrkFace,Wd Shng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,Detchd,1931,Unf,2,468,Fa,TA,Y,90,0,205,0,0
10,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,Attchd,1939,RFn,1,205,Gd,TA,Y,0,4,0,0,0
11,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,Detchd,1965,Unf,1,384,TA,TA,Y,0,0,0,0,0
12,Hip,CompShg,WdShing,Wd Shng,Stone,286,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,BuiltIn,2005,Fin,3,736,TA,TA,Y,147,21,0,0,0
13,Hip,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,Detchd,1962,Unf,1,352,TA,TA,Y,140,0,0,0,176
14,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Attchd,2006,RFn,3,840,TA,TA,Y,160,33,0,0,0
15,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,Attchd,1960,RFn,1,352,TA,TA,Y,0,213,176,0,0
16,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,Detchd,1991,Unf,2,576,TA,TA,Y,48,112,0,0,0
17,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0
18,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,CarPort,1967,Unf,2,516,TA,TA,Y,0,0,0,0,0
