Id,Heating,HeatingQC,CentralAir,Electrical,FstFlrSF,SecFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,0,NA,NA,NA,0,2,2008,WD,Normal,208500
2,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,0,NA,NA,NA,0,5,2007,WD,Normal,181500
3,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,0,NA,NA,NA,0,9,2008,WD,Normal,223500
4,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,0,NA,NA,NA,0,2,2006,WD,Abnorml,140000
5,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,0,NA,NA,NA,0,12,2008,WD,Normal,250000
6,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,NA,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,143000
7,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,0,NA,NA,NA,0,8,2007,WD,Normal,307000
8,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,0,NA,NA,Shed,350,11,2009,WD,Normal,200000
9,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,0,NA,NA,NA,0,4,2008,WD,Abnorml,129900
10,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,0,NA,NA,NA,0,1,2008,WD,Normal,118000
11,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,2,2008,WD,Normal,129500
12,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,0,NA,NA,NA,0,7,2006,New,Partial,345000
13,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,NA,0,NA,NA,NA,0,9,2008,WD,Normal,144000
14,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,0,NA,NA,NA,0,8,2007,New,Partial,279500
15,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,0,NA,GdWo,NA,0,5,2008,WD,Normal,157000
16,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,NA,0,NA,GdPrv,NA,0,7,2007,WD,Normal,132000
17,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,0,NA,NA,Shed,700,3,2010,WD,Normal,149000
18,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,NA,0,NA,NA,Shed,500,10,2006,WD,Normal,90000
19,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,NA,0,NA,NA,NA,0,6,2008,WD,Normal,159000
20,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,NA,0,NA,MnPrv,NA,0,5,2009,COD,Abnorml,139000
21,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,0,NA,NA,NA,0,11,2006,New,Partial,325300
22,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,0,NA,GdPrv,NA,0,6,2007,WD,Normal,139400
23,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,0,NA,NA,NA,0,9,2008,WD,Normal,230000
24,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,0,NA,NA,NA,0,6,2007,WD,Normal,129900
25,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,0,NA,MnPrv,NA,0,5,2010,WD,Normal,154000
26,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,0,NA,NA,NA,0,7,2009,WD,Normal,256300
27,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,NA,0,NA,NA,NA,0,5,2010,WD,Normal,134800
28,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,0,NA,NA,NA,0,5,2010,WD,Normal,306000
29,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,0,NA,NA,NA,0,12,2006,WD,Normal,207500
30,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,NA,0,NA,NA,NA,0,5,2008,WD,Normal,68500
31,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,NA,0,NA,MnPrv,NA,0,7,2008,WD,Normal,40000
32,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,NA,0,NA,MnPrv,NA,0,6,2008,WD,Normal,149350
33,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,NA,0,NA,NA,NA,0,1,2008,WD,Normal,179900
34,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,0,NA,NA,NA,0,4,2010,WD,Normal,165500
35,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,0,NA,NA,NA,0,8,2007,WD,Normal,277500
36,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,0,NA,NA,NA,0,9,2006,WD,Normal,309000
37,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,NA,0,NA,NA,NA,0,6,2009,WD,Normal,145000
38,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,0,NA,NA,NA,0,10,2009,WD,Normal,153000
39,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,NA,0,NA,NA,NA,0,1,2010,WD,Abnorml,109000
40,GasA,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,NA,0,NA,NA,NA,0,6,2008,WD,AdjLand,82000
41,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,0,NA,GdWo,NA,0,12,2006,WD,Abnorml,160000
42,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,0,NA,NA,NA,0,7,2007,WD,Normal,170000
43,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,NA,0,NA,MnPrv,NA,0,12,2007,WD,Normal,144000
44,GasA,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,NA,0,NA,MnPrv,NA,0,7,2008,WD,Normal,130250
45,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,NA,0,NA,NA,NA,0,5,2006,WD,Normal,141000
46,GasA,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,0,NA,NA,NA,0,2,2010,WD,Normal,319900
47,GasA,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,0,NA,NA,NA,0,8,2009,WD,Abnorml,239686
48,GasA,Ex,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,NA,0,NA,NA,NA,0,7,2007,WD,Normal,249700
49,GasA,Gd,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,NA,0,NA,NA,NA,0,6,2009,New,Partial,113000
50,GasA,Ex,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,NA,0,NA,MnPrv,NA,0,1,2007,WD,Normal,127000
51,GasA,Gd,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,NA,0,NA,NA,NA,0,7,2007,WD,Normal,177000
